time,left_s0,left_s1,left_e0,left_e1,left_w0,left_w1,left_w2,left_gripper,right_s0,right_s1,right_e0,right_e1,right_w0,right_w1,right_w2,right_gripper
0.494969,-0.0770825345032,-0.999388482166,-1.18998559484,1.93818472328,0.67034960354,1.02776712671,-0.498160260297,100.0,-0.710233103979,0.320218489105,1.14089820969,1.13706325772,0.389247624481,0.878204000061,-0.898912740674,100.0
0.495156,-0.0770825345032,-0.999388482166,-1.18998559484,1.93818472328,0.67034960354,1.02776712671,-0.498160260297,100.0,-0.710233103979,0.320218489105,1.14089820969,1.13706325772,0.389247624481,0.878204000061,-0.898912740674,100.0
0.505271,-0.0766990393066,-0.998621491772,-1.19075258524,1.93780122808,0.669966108344,1.02776712671,-0.4977767651,100.0,-0.709466113586,0.320985479498,1.14204869528,1.13706325772,0.389247624481,0.878587495258,-0.900063226263,100.0
0.515275,-0.0782330200928,-0.998621491772,-1.19036909004,1.93741773289,0.669582613147,1.02776712671,-0.4977767651,100.0,-0.709466113586,0.320985479498,1.14128170488,1.13706325772,0.389631119678,0.878587495258,-0.899679731067,100.0
0.525342,-0.0766990393066,-0.999004986969,-1.18960209965,1.93703423769,0.669966108344,1.02738363151,-0.498543755493,100.0,-0.709849608783,0.319834993909,1.14128170488,1.13706325772,0.388864129285,0.878204000061,-0.898529245477,100.0
0.535345,-0.0778495248962,-0.999004986969,-1.18960209965,1.93741773289,0.669582613147,1.02738363151,-0.4977767651,100.0,-0.710233103979,0.321368974695,1.14128170488,1.13744675292,0.388480634088,0.878970990454,-0.89929623587,100.0
0.545364,-0.0766990393066,-0.998621491772,-1.18960209965,1.93780122808,0.669966108344,1.02776712671,-0.498160260297,100.0,-0.709849608783,0.319834993909,1.14089820969,1.13744675292,0.388864129285,0.878204000061,-0.898912740674,100.0
0.555306,-0.0774660296997,-0.999388482166,-1.19036909004,1.93818472328,0.67034960354,1.02738363151,-0.498160260297,100.0,-0.709466113586,0.320218489105,1.14204869528,1.13667976252,0.388480634088,0.878587495258,-0.89929623587,100.0
0.565317,-0.0770825345032,-0.999004986969,-1.18960209965,1.93818472328,0.669966108344,1.02738363151,-0.49892725069,100.0,-0.70908261839,0.320601984302,1.14128170488,1.13667976252,0.389247624481,0.878587495258,-0.899679731067,100.0
0.575331,-0.0766990393066,-0.998621491772,-1.18921860445,1.93780122808,0.670733098737,1.02776712671,-0.498160260297,100.0,-0.709849608783,0.319451498712,1.14089820969,1.13706325772,0.389631119678,0.878587495258,-0.898912740674,100.0
